model	response	row_id	x	observed	yrep_median	yrep_q05	yrep_q95	residual_obs_minus_yrep_median	std_residual	pp_p_upper	pp_p_two_tail	outside_yrep90
base_k0	befa.st	1	0.243969428516133	1.52411810340894	1.43441787846648	1.10729908519609	2.19844513074328	0.0897002249424625	0.262501696657534	0.42	0.84	FALSE
base_k0	befa.st	2	0.243969428516133	1.4467525298988	1.43062720141668	1.11307413389438	2.21333939922832	0.016125328482115	0.045299050996041	0.479	0.958	FALSE
base_k0	befa.st	3	0.243969428516133	1.70867449789702	1.43744544304734	1.0969248921121	2.25777732605365	0.271229054849681	0.747835226928012	0.24	0.48	FALSE
base_k0	befa.st	4	0.243969428516133	1.46064873019864	1.44529635011301	1.10736782870394	2.19415310320461	0.0153523800856292	0.044842649710494	0.48	0.96	FALSE
base_k0	befa.st	5	0.243969428516133	2.2149452648452	1.46112258987065	1.11433203020433	2.12223269151273	0.753822674974554	2.22915538561917	0.042	0.084	TRUE
base_k0	befa.st	6	0.795171711003984	1.42945196127514	1.31785819585184	1.07256270629944	1.8261587371822	0.111593765423301	0.484821458429786	0.32	0.64	FALSE
base_k0	befa.st	7	0.795171711003984	1.58385487028204	1.3195936352146	1.08643850622236	1.82929232967072	0.26426123506744	1.08036072706001	0.18	0.36	FALSE
base_k0	befa.st	8	0.795171711003984	1.52887982729671	1.30695802278211	1.070484601747	1.7907258119483	0.221921804514601	0.953364875110796	0.202	0.404	FALSE
base_k0	befa.st	9	0.795171711003984	1.45941663114871	1.31529149897012	1.07343376598523	1.83587329407449	0.144125132178592	0.580180583160185	0.28	0.56	FALSE
base_k0	befa.st	10	0.795171711003984	1.35149933527008	1.31228181835007	1.08222157427438	1.81035715549996	0.039217516920006	0.156613665618493	0.432	0.864	FALSE
base_k0	befa.st	11	0.411394211153425	1.15775084789854	1.34278599709514	1.09120022284246	1.87951283828765	-0.185035149196595	-0.726593879211246	0.852	0.296	FALSE
base_k0	befa.st	12	0.411394211153425	1.68517221283635	1.34420500359951	1.07743630217054	1.91659974774467	0.340967209236838	1.28975424294149	0.126	0.252	FALSE
base_k0	befa.st	13	0.411394211153425	1.22396125414224	1.35745035405734	1.08276989660185	1.9593479946646	-0.133489099915098	-0.490080627474153	0.716	0.568	FALSE
base_k0	befa.st	14	0.411394211153425	1.76004374897732	1.36317869186626	1.07743015028024	1.92079496136738	0.396865057111062	1.48575382294215	0.1	0.2	FALSE
base_k0	befa.st	15	0.411394211153425	1.42278488580653	1.35402879981043	1.0813289693934	1.88744645502999	0.0687560859961027	0.257762937183577	0.411	0.822	FALSE
base_k0	befa.st	16	0.455330167427783	1.03976339139008	1.33555914981995	1.08085766763448	1.89216897234773	-0.295795758429865	-1.1694113545888	0.982	0.036	TRUE
base_k0	befa.st	17	0.455330167427783	1.4419919170223	1.34109501715099	1.09035986250493	1.88939987492105	0.100896899871308	0.395486076742532	0.338	0.676	FALSE
base_k0	befa.st	18	0.455330167427783	1.08574966463729	1.32816912739826	1.08156107437942	1.89680197154702	-0.24241946276097	-0.927408826001528	0.945	0.11	FALSE
base_k0	befa.st	19	0.455330167427783	1.23250070561671	1.34679321753629	1.0770396061433	1.9075915172726	-0.114292511919578	-0.443536817364162	0.69	0.62	FALSE
base_k0	befa.st	20	0.455330167427783	1.2802782645082	1.32629386822173	1.07541065209624	1.90709781460392	-0.0460156037135264	-0.171901019745659	0.589	0.822	FALSE
base_k0	befa.st	21	0.455330167427783	1.26876650103185	1.3204689310274	1.08037059395046	1.86894875260824	-0.0517024299955511	-0.202604092364344	0.604	0.792	FALSE
base_k0	befa.st	22	0.455330167427783	1.22604314600663	1.31718456948368	1.08149171348932	1.82583721481106	-0.091141423477052	-0.361382129137898	0.682	0.636	FALSE
base_k0	befa.st	23	0.455330167427783	1.26274336246921	1.33592403497811	1.08982363442305	1.87897783512152	-0.0731806725088968	-0.293492711573662	0.639	0.722	FALSE
base_k0	befa.st	24	0.455330167427783	1.26010930216538	1.34781470191347	1.08231112537988	1.94379559142104	-0.0877053997480906	-0.323005366211361	0.633	0.734	FALSE
